what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1331894520371
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1331894520381
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1331894520390
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1331894520427
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1331894520432
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1331894520432
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1331894520439
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1331894520443
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1331894520449
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks.ui",1331894520456
started,bundle,org.eclipse.wst.common.modulecore,1.2.103.v201201190400,"org.eclipse.wst.common.modulecore",1331894520468
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1331894520477
started,bundle,org.eclipse.wst.common.ui,1.1.500.v200911190730,"org.eclipse.wst.common.ui",1331894520481
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1331894520490
started,bundle,org.eclipse.wst.css.core,1.1.501.v201111292150,"org.eclipse.wst.css.core",1331894520497
started,bundle,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.ui",1331894520508
started,bundle,org.eclipse.wst.dtd.core,1.1.501.v201107252021,"org.eclipse.wst.dtd.core",1331894520514
started,bundle,org.eclipse.wst.dtd.ui,1.0.600.v201103171359,"org.eclipse.wst.dtd.ui",1331894520526
started,bundle,org.eclipse.wst.html.core,1.1.502.v201202091936,"org.eclipse.wst.html.core",1331894520533
started,bundle,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.ui",1331894520539
started,bundle,org.eclipse.wst.jsdt.core,1.1.102.v201111090634,"org.eclipse.wst.jsdt.core",1331894520546
started,bundle,org.eclipse.wst.jsdt.debug.ui,1.0.101.v201201112313,"org.eclipse.wst.jsdt.debug.ui",1331894520557
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.300.v201104272153,"org.eclipse.wst.jsdt.manipulation",1331894520557
started,bundle,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui",1331894520578
started,bundle,org.eclipse.wst.jsdt.web.core,1.0.401.v201108152113,"org.eclipse.wst.jsdt.web.core",1331894520589
started,bundle,org.eclipse.wst.jsdt.web.ui,1.0.401.v201108152113,"org.eclipse.wst.jsdt.web.ui",1331894520594
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1331894520605
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1331894520605
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1331894520612
started,bundle,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui",1331894520622
started,bundle,org.eclipse.wst.validation,1.2.303.v201202090300,"org.eclipse.wst.validation",1331894520622
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1331894520622
started,bundle,org.eclipse.wst.wsdl.validation,1.1.502.v201104071820,"org.eclipse.wst.wsdl.validation",1331894520634
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1331894520644
started,bundle,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui",1331894520652
started,bundle,org.eclipse.wst.xsd.core,1.1.600.v201104070312,"org.eclipse.wst.xsd.core",1331894520652
started,bundle,org.eclipse.wst.xsl.core,1.1.100.v201102270516,"org.eclipse.wst.xsl.core",1331894520659
started,bundle,org.eclipse.egit.core,1.3.0.201202151440-r,"org.eclipse.egit.core",1331894520671
started,bundle,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui",1331894520682
started,bundle,org.eclipse.jgit,1.3.0.201202151440-r,"org.eclipse.jgit",1331894520683
started,bundle,org.eclipse.m2e.logback.configuration,1.0.200.20111228-1245,"org.eclipse.m2e.logback.configuration",1331894520692
os,sysinfo,,,"linux",1331894520698
arch,sysinfo,,,"x86",1331894520698
ws,sysinfo,,,"gtk",1331894520698
locale,sysinfo,,,"en_US",1331894520698
processors,sysinfo,,,"2",1331894520699
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1331894520699
java.runtime.version,sysinfo,,,"1.6.0_23-b23",1331894520699
java.specification.name,sysinfo,,,"Java Platform API Specification",1331894520699
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1331894520699
java.specification.version,sysinfo,,,"1.6",1331894520699
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1331894520699
java.version,sysinfo,,,"1.6.0_23",1331894520699
java.vm.info,sysinfo,,,"mixed mode, sharing",1331894520699
java.vm.name,sysinfo,,,"OpenJDK Client VM",1331894520699
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1331894520699
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1331894520699
java.vm.specification.version,sysinfo,,,"1.0",1331894520699
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1331894520699
java.vm.version,sysinfo,,,"20.0-b11",1331894520699
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1331894520730
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1331894520987
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1331894521032
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1331894521670
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331894536195
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331894539132
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331894543866
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331894649372
started,bundle,org.eclipse.jst.jsf.facelet.ui,1.0.1.v201104032306,"org.eclipse.jst.jsf.facelet.ui",1331894651718
started,bundle,org.eclipse.jst.jsf.ui,1.3.2.v201104251204,"org.eclipse.jst.jsf.ui",1331894651754
started,bundle,org.eclipse.jst.jsf.facelet.core,1.0.100.v201104191527,"org.eclipse.jst.jsf.facelet.core",1331894651857
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331894773629
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331894807866
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1331894813978
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331894814165
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331894816133
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1331894817406
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1331894819196
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331894819933
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331894821451
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1331894822333
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1331894831789
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331894832450
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331894839710
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331894849028
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331894849498
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331894851249
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331894852855
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331894853701
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331894855032
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1331894855919
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineEnd",1331894856384
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1331894856677
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1331894857042
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331894857466
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331894859717
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1331894876955
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1331894877132
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1331894877492
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1331894878320
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1331894885819
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331894886357
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331894908014
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331894908507
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331894912606
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1331894920253
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1331894920806
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331894921277
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331894928726
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1331894930006
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1331894931373
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1331894932236
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331894932574
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331894940049
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1331894958151
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1331894958658
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1331894976283
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1331894987097
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1331894989005
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331894989552
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331894991133
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331894991596
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331895001728
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1331895005349
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331895005885
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331895038448
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1331895042977
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1331895043141
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1331895043883
started,bundle,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.ui",1331895045242
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1331895045971
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1331895046845
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1331895050004
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1331895051441
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1331895053769
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331895054244
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331895059400
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1331895066059
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331895066397
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331895068749
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331895069142
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331895074300
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331895074767
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331895111009
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1331895113310
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1331895114157
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1331895114565
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1331895115154
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineEnd",1331895121097
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1331895121334
started,bundle,org.eclipse.wst.xsl.exslt.core,1.0.0.v201005240426,"org.eclipse.wst.xsl.exslt.core",1331895122889
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1331895123186
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331895134392
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331895141507
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.smartEnter",1331895162096
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineEnd",1331895163423
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1331895163637
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineStart",1331895163952
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1331895164593
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.deletePreviousWord",1331895171960
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1331895173528
