what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332187635647
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332187642769
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332187661929
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1332187665619
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1332187665802
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1332187665837
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1332187668737
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1332187673026
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1332187674214
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1332187674423
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1332187674462
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1332187675270
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1332187676556
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1332187676791
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1332187677340
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332187677767
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332187678614
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1332187680527
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1332187681433
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1332187681784
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1332187682285
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1332187682615
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1332187684057
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1332187684525
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332187686012
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332187820219
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332187823867
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332187824613
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332187825243
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332187826815
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1332187828192
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332187833495
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1332187833562
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332187863735
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332187865068
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332187869308
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1332187881132
activated,editor,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.core.csssource.source",1332187883524
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1332187883557
activated,editor,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.core.csssource.source",1332187884528
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1332187889418
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1332187890152
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1332187901249
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineStart",1332187903548
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1332187905053
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1332187910058
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1332187911162
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1332187912100
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1332187912551
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1332187914632
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1332187914872
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1332187916164
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332187916679
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332187927134
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1332187931701
activated,editor,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.core.csssource.source",1332187934034
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1332187935606
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1332187944592
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1332187945404
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332187945948
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332187951010
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1332187951981
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1332187953354
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1332187955475
activated,editor,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.core.csssource.source",1332187957050
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1332187958134
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1332187958699
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1332187959734
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332187960035
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332187968935
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1332187970376
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1332187974159
activated,editor,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.core.csssource.source",1332187975044
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332187975591
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332187977734
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332187979175
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332187979244
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineStart",1332187980119
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1332187980966
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332187981330
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332187986582
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332187993119
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1332187993371
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332188034673
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332188038578
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332188051882
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1332188053680
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1332188054114
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332188055184
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332188068611
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1332188071107
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332188071373
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332188077750
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1332188080162
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332188080587
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332188085025
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1332188086713
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1332188089075
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1332188089840
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332188090085
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332188166993
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332188172380
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332188302206
activated,editor,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.core.csssource.source",1332188304558
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1332188306643
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1332188313388
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332188313631
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332188318703
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332188325295
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1332188325359
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332188335750
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1332188340185
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1332188340847
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332188341147
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332188347395
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1332188348357
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1332188349220
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332188350122
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332188354201
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1332188356874
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordPrevious",1332188357251
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordPrevious",1332188357502
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordPrevious",1332188357678
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordPrevious",1332188357947
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1332188359425
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1332188360742
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332188360971
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332188363754
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1332188365008
